"","PercID","TargID","GroupID","known_either","FE_seen","FE_known","FE_verb","FE_num","FE_spat","FE_crea","FE_intra","FE_inter","FE_obs_verb","FE_obs_num","FE_obs_spat","FE_obs_crea","FE_obs_intra","FE_obs_inter","FE_humor","FE_attract","FE_symp","FE_STR","FE_LTR","FE_Match","FE_verb_acq","FE_num_acq","FE_spat_acq","FE_crea_acq","FE_intra_acq","FE_inter_acq","FE_obs_verb_acq","FE_obs_num_acq","FE_obs_spat_acq","FE_obs_crea_acq","FE_obs_intra_acq","FE_obs_inter_acq","FE_humor_acq","FE_attract_acq","FE_symp_acq","FE_STR_acq","FE_LTR_acq","FE_Match_acq"
"386","SD_2_03_W","SD_2_12_M",2,0,0,0,4,3,3,4,3,2,2,2,2,3,3,2,2,3,2,1,1,0,4,3,3,4,3,2,2,2,2,3,3,2,2,3,2,1,1,0
"387","SD_2_03_W","SD_2_13_M",2,0,0,0,4,3,4,3,4,4,3,2,2,2,4,4,4,4,3,3,2,1,4,3,4,3,4,4,3,2,2,2,4,4,4,4,3,3,2,1
"388","SD_2_04_M","SD_2_01_W",2,NA,NA,NA,3,3,2,4,3,3,4,2,2,4,4,4,4,2,3,1,1,0,3,3,2,4,3,3,4,2,2,4,4,4,4,2,3,1,1,0
"389","SD_2_04_M","SD_2_02_W",2,0,0,0,3,2,2,4,3,3,4,3,3,3,3,4,3,4,3,1,1,0,3,2,2,4,3,3,4,3,3,3,3,4,3,4,3,1,1,0
"390","SD_2_04_M","SD_2_03_W",2,0,0,0,4,2,2,3,3,4,4,2,2,2,3,3,3,4,4,3,1,0,4,2,2,3,3,4,4,2,2,2,3,3,3,4,4,3,1,0
"391","SD_2_04_M","SD_2_04_W",2,0,0,0,4,3,2,3,4,3,4,1,1,1,4,5,3,3,4,1,1,0,4,3,2,3,4,3,4,1,1,1,4,5,3,3,4,1,1,0
"392","SD_2_04_M","SD_2_05_W",2,0,0,0,4,2,4,4,4,4,4,2,2,4,3,3,4,3,4,1,1,0,4,2,4,4,4,4,4,2,2,4,3,3,4,3,4,1,1,0
"393","SD_2_04_M","SD_2_06_W",2,0,0,0,4,3,2,4,4,4,4,2,2,2,3,4,4,4,4,4,2,1,4,3,2,4,4,4,4,2,2,2,3,4,4,4,4,4,2,1
"394","SD_2_04_M","SD_2_07_W",2,0,0,0,4,3,2,4,4,4,4,2,2,3,4,4,4,4,5,4,2,1,4,3,2,4,4,4,4,2,2,3,4,4,4,4,5,4,2,1
"395","SD_2_04_M","SD_2_08_W",2,0,0,0,4,2,2,5,4,3,2,2,2,4,3,3,4,2,3,1,1,0,4,2,2,5,4,3,2,2,2,4,3,3,4,2,3,1,1,0
"396","SD_2_04_M","SD_2_09_W",2,0,0,0,4,3,2,3,4,4,4,2,2,2,2,3,4,4,4,4,2,1,4,3,2,3,4,4,4,2,2,2,2,3,4,4,4,4,2,1
"397","SD_2_04_M","SD_2_10_W",2,NA,0,0,3,4,2,2,3,3,4,3,3,2,4,4,3,4,3,3,1,1,3,4,2,2,3,3,4,3,3,2,4,4,3,4,3,3,1,1
"398","SD_2_04_M","SD_2_11_W",2,0,0,0,4,2,2,4,3,3,4,2,2,2,2,3,4,2,3,1,1,0,4,2,2,4,3,3,4,2,2,2,2,3,4,2,3,1,1,0
"399","SD_2_04_M","SD_2_12_W",2,0,0,0,4,3,3,4,4,4,4,3,3,3,4,4,4,4,5,5,2,1,4,3,3,4,4,4,4,3,3,3,4,4,4,4,5,5,2,1
